Name,Platform,Followers,Niche,Engagement,Link
Andrew Ng,LinkedIn,3.1M,AI Education,High,https://linkedin.com/in/andrewyng
Elon Musk,X/Twitter,150M,AI Development,High,https://twitter.com/elonmusk
Fei-Fei Li,LinkedIn,500K,AI Research,Medium,https://linkedin.com/in/feifeili
Lex Fridman,YouTube,2.5M,AI Discussions,High,https://youtube.com/c/lexfridman
Sam Altman,X/Twitter,1.8M,AI Entrepreneurship,High,https://twitter.com/sama
Kate Crawford,LinkedIn,300K,AI Ethics,Medium,https://linkedin.com/in/katecrawford
Demis Hassabis,X/Twitter,400K,Deep Learning,Medium,https://twitter.com/demishassabis
Yoshua Bengio,LinkedIn,200K,Machine Learning,Medium,https://linkedin.com/in/yoshua-bengio
Gary Vaynerchuk,Instagram,10M,AI and Business,High,https://instagram.com/garyvee
Jared Cohen,LinkedIn,95K,AI Policy,Low,https://linkedin.com/in/jaredcohen
Chris Bishop,X/Twitter,120K,AI Research,Medium,https://twitter.com/chrisbshop
Kieran O'Neill,LinkedIn,75K,AI Startups,Medium,https://linkedin.com/in/kieranoneill
Olga Kharif,X/Twitter,80K,AI in News,Medium,https://twitter.com/olgakharif
Matthew O. Jackson,LinkedIn,60K,AI Collaboration,Low,https://linkedin.com/in/matthewjackson
Rana El Kaliouby,LinkedIn,120K,Emotion AI,High,https://linkedin.com/in/ranaelkaliouby
Amit Singhal,X/Twitter,140K,AI Technology,Medium,https://twitter.com/amitsinghal
Timnit Gebru,X/Twitter,200K,AI Ethics,High,https://twitter.com/timnitGebru
Michael Jordan,LinkedIn,180K,AI and Statistics,Medium,https://linkedin.com/in/michaeljordan
Ilya Sutskever,X/Twitter,220K,AI Research,Medium,https://twitter.com/ilyasut
Dario Amodei,LinkedIn,100K,AI Research,Medium,https://linkedin.com/in/darioamodei
Miriam Reiner,YouTube,50K,AI and Cognition,Low,https://youtube.com/c/miriamreiner
Garry Kasparov,X/Twitter,600K,AI and Chess,Medium,https://twitter.com/garrykasparov
Heather Knight,LinkedIn,75K,AI Robotics,Medium,https://linkedin.com/in/heatherknight
Nikola Danaylov,Twitter,90K,AI and Future,Medium,https://twitter.com/nikoladanaylov
Sophie Zhang,X/Twitter,65K,AI and Data,Medium,https://twitter.com/sophiezhang
Tim O'Reilly,LinkedIn,350K,AI and Publishing,Medium,https://linkedin.com/in/timoreilly
Jonas Wanke,X/Twitter,80K,AI Startups,Low,https://twitter.com/jonaswanke
Michael Kearns,LinkedIn,150K,AI and Society,Medium,https://linkedin.com/in/michaelkearns
Stuart Russell,YouTube,400K,AI Safety,High,https://youtube.com/c/stuartrussell
Rashida Jones,Instagram,3.5M,AI in Media,High,https://instagram.com/rashidajones
Bill Gates,LinkedIn,35M,AI and Philanthropy,High,https://linkedin.com/in/willgates
Masayoshi Son,X/Twitter,500K,Tech Investments,Medium,https://twitter.com/masayoshi_son
Stefan Thomke,LinkedIn,90K,AI in Business,Medium,https://linkedin.com/in/stefanthomke
Joanna Bryson,X/Twitter,50K,AI Ethics,Medium,https://twitter.com/joannabryson
Zeynep Tufekci,X/Twitter,250K,AI and Society,High,https://twitter.com/zeynep
Kathy Baxter,LinkedIn,120K,Human-Centered AI,High,https://linkedin.com/in/kathybaxter
Daniel Kahneman,LinkedIn,1.5M,Behavioral AI,High,https://linkedin.com/in/danielkahneman
Cynthia Breazeal,YouTube,100K,Social Robotics,Medium,https://youtube.com/c/cynthiabreazeal
Anima Anandkumar,LinkedIn,300K,Machine Learning,Medium,https://linkedin.com/in/animaanandkumar
Pietro Michelucci,YouTube,50K,AI and Human Factors,Low,https://youtube.com/c/pietromichelucci